Components,Webb UI,,,MUI 5,,Has Style Guide Components,Notes,
,Can be likely converted over to,,,No Webb UI equivalent exists as of this audit,,,,
about,,,,,,,,
ui/src/app/components/about/about.jsx,,Typography,,,,,,
application-error,,,,,,,,
ui/src/app/components/application-error/error-container.jsx,,Typography,,,,,,
asn-lookup,,,,,,,,
ui/src/app/components/asn-lookup/asn-lookup.jsx,,Typography,,Skeleton :question_mark:,,,Do we want to keep the skeleton? Or switch to loading text?,
,,LaunchIcon,,,,,I question if the dashboard that uses this component still exists https://network-cluster-qa.deepfield.net/dashboards/asn-lookup,
,,,OpenInNewIcon in webb-ui,,,,,
,,Grid,,,,,,
boundary-config,,,,,,,,
ui/src/app/components/boundary-config/add-button.jsx,,Popover,,,List,,,
,,,,,ListItem,,,
,,,,,ListItemText,,,
ui/src/app/components/boundary-config/boundary-config-page.jsx,,Switch,,,,,,
,,WarningIcon,,,,,,
ui/src/app/components/boundary-config/boundary-dialog.jsx,,Dialog,,,,,ReactColor :question_mark: library?,
,,DialogTitle,,,,,,
,,DialogActions,,,,,,
,,DialogContent,,,,,,
,,Popover,,,,,,
,,InputAdornment,,,,,,
,,Typography,,,,,,
ui/src/app/components/boundary-config/boundary-table.jsx,,EditIcon,,,,,,
,,DeleteIcon,,,,,,
button,,,,,,,,
ui/src/app/components/button/chip-button.jsx,,Button,,,,,Color :question_mark: library?,
compound-charts,,,,,,,,
ui/src/app/components/compound-charts/table-timegraph.jsx,,Modal,,,,,,
,,DialogTitle,,,,,,
,,Typography,,,,,,
,,IconButton,,,,,,
,,CloseIcon,,,,,,
config-rules,,,,,,,,
ui/src/app/components/config-rules/form-components/boundary-select.jsx,,,,,,,,
ui/src/app/components/config-rules/form-components/description.jsx,,Textfield,,,,,,
ui/src/app/components/config-rules/form-components/interface-description.jsx,,,,,,,,
ui/src/app/components/config-rules/form-components/match-type-select.jsx,,,,,,,,
ui/src/app/components/config-rules/form-components/name.jsx,,,,,,,,
ui/src/app/components/config-rules/form-components/order.jsx,,,,,,,,
ui/src/app/components/config-rules/form-components/peer.jsx,,Radio,,,,,,
,,FormControlLabel,,,,,,
,,MenuItem,,,,,,
,,ArrowDropDownIcon,,,,,,
,,InputAdornment,,,,,,
,,FormHelperText,,,,,,
ui/src/app/components/config-rules/form-components/simple-boundary.jsx,,MenuItem,,,,,,
,,InputAdornment,,,,,,
,,ArrowDropDownIcon,,,,,,
ui/src/app/components/config-rules/interface-inspection/form-components/if-type-select.jsx,,,,,,,,
ui/src/app/components/config-rules/interface-inspection/form-components/interface-classification-field.jsx,,Radio,,,,,,
,,FormControlLabel,,,,,,
ui/src/app/components/config-rules/interface-inspection/apply-filters-button.jsx,,,,,,,,
ui/src/app/components/config-rules/interface-inspection/interface-inspection-form.jsx,,,,,,,,
ui/src/app/components/config-rules/interface-inspection/interface-inspection-page.jsx,,,,,,,,
ui/src/app/components/config-rules/interface-inspection/interface-table.jsx,,,,,,,,
ui/src/app/components/config-rules/rule-preview/rule-preview-button.jsx,,,,,,,,
ui/src/app/components/config-rules/rule-preview/rule-preview-search.jsx,,TextField,,,,,,
,,InputAdornment,,,,,,
,,SearchIcon,,,,,,
,,CircularProgress,,,,,,
ui/src/app/components/config-rules/rule-preview/rule-preview.jsx,,Badge,,,,,,
ui/src/app/components/config-rules/config-rule-form.jsx,,Typography,,,,,,
ui/src/app/components/config-rules/config-rules-edit-page.jsx,,Typography,,,,,,
ui/src/app/components/config-rules/config-rules-list-page.jsx,,Popover,,,List,,,
,,,,,ListItem,,,
,,,,,ListItemText,,,
ui/src/app/components/config-rules/config-rules-table.jsx,,EditIcon,,,List,,,
,,DeleteIcon,,,ListItem,,,
,,MoreVertIcon,,,ListItemText,,,
,,Popover,,,,,,
ui/src/app/components/config-rules/conflict-popover.jsx,,Popover,,,,,,
,,Typography,,,,,,
,,OpenInNewIcon,,,,,,
ui/src/app/components/config-rules/execution-button.jsx,,LaunchIcon,,,,,,
ui/src/app/components/config-rules/interface-summary.jsx,,LaunchIcon,,,,,,
,,ChevronRight,,,,,,
,,Grid,,,,,,
ui/src/app/components/config-rules/order-widget.jsx,,Textfield,,,,,,
,,grey,,,,,,
,,ArrowDropUpIcon,,,,,,
,,ArrowDropDownIcon,,,,,,
ui/src/app/components/config-rules/rule-popover.jsx,,Popover,,,,,,
,,OpenInNewIcon,,,,,,
ui/src/app/components/config-rules/summary-card.jsx,,Card,,,,,,
,,CardContent,,,,,,
,,CardActions,,,,,,
,,Typography,,,,,,
connectors,,,,,,,,
ui/src/app/components/connectors/router/expandable-forms/bgp/bgp-direct-peer-form.jsx,,TextField,,,,,,
,,Checkbox,,,,,,
,,FormControlLabel,,,,,,
,,FormControl,,,,,,
,,FormLabel,,,,,,
,,RadioGroup,,,,,,
,,FormGroup,,,,,,
,,Radio,,,,,,
ui/src/app/components/connectors/router/expandable-forms/bgp/bgp-form.jsx,,Typography,,,,,,
ui/src/app/components/connectors/router/expandable-forms/bgp/bgp-inherit-form.jsx,,FormLabel,,,,,,
ui/src/app/components/connectors/router/expandable-forms/bgp/bgp-session-status.jsx,,Grey,,,,,,
,,Red,,,,,,
,,Green,,,,,,
,,CancelIcon,,,,,,
,,CheckCircleIcon,,,,,,
ui/src/app/components/connectors/router/expandable-forms/flow/flow-form.jsx,,Typography,,,,,,
,,FormControl,,,,,,
,,FormLabel,,,,,,
,,FormControlLabel,,,,,,
,,RadioGroup,,,,,,
,,Radio,,,,,,
ui/src/app/components/connectors/router/expandable-forms/network-firewall/network-firewall-form.jsx,,TextField,,,,,,
ui/src/app/components/connectors/router/expandable-forms/snmp/snmp-form.jsx,,Typography,,,,,,
,,TextField,,,,,,
,,FormControl,,,,,,
,,FormControlLabel,,,,,,
,,FormLabel,,,,,,
,,FormGroup,,,,,,
,,RadioGroup,,,,,,
,,Radio,,,,,,
,,MenuItem,,,,,,
ui/src/app/components/connectors/router/expandable-forms/spm/spm-form.tsx,,Box,,,WithStyles,,WithStyles :question_mark:,
,,Typography,,,,,,
,,TextField,,,,,,
,,FormControl,,,,,,
,,FormLabel,,,,,,
,,MenuItem,,,,,,
,,InputAdornment,,,,,,
ui/src/app/components/connectors/router/expandable-forms/expandable-form-section.jsx,,ExpandMoreIcon,,,Accordion,,,
,,,,,AccordionSummary,,,
,,,,,AccordionDetails,,,
ui/src/app/components/connectors/router/expandable-forms/form-title.jsx,,Typography,,,,,,
,,ErrorOutlineIcon,,,,,,
ui/src/app/components/connectors/router/expandable-forms/ip-same-as-loopback.jsx,,Checkbox,,,,,,
,,FormControlLabel,,,,,,
,,RadioGroup,,,,,,
,,Radio,,,,,,
ui/src/app/components/connectors/router/geoip/city-auto-suggest.jsx,,,,,,,,
ui/src/app/components/connectors/router/geoip/geoip-form.jsx,,FormControl,,,,,,
,,FormLabel,,,,,,
ui/src/app/components/connectors/router/geoip/geoip-world-map.jsx,,,,,,,,
ui/src/app/components/connectors/router/sidebar/router-capabilities/checkbox-has-bgp.tsx,,Checkbox,,,,,,
,,FormControlLabel,,,,,,
,,RadioGroup,,,,,,
,,Radio,,,,,,
ui/src/app/components/connectors/router/sidebar/router-capabilities/checkbox-has-flow.tsx,,Checkbox,,,,,,
,,FormControlLabel,,,,,,
ui/src/app/components/connectors/router/sidebar/router-capabilities/checkbox-has-network-firewall.tsx,,Checkbox,,,,,,
,,FormControlLabel,,,,,,
ui/src/app/components/connectors/router/sidebar/router-capabilities/checkbox-has-snmp.tsx,,Checkbox,,,,,,
,,FormControlLabel,,,,,,
ui/src/app/components/connectors/router/sidebar/router-capabilities/checkbox-has-spm.tsx,,Checkbox,,,,,,
,,FormControlLabel,,,,,,
ui/src/app/components/connectors/router/sidebar/router-capabilities/router-capabilities.tsx,,FormLabel,,,,,,
,,FormControl,,,,,,
,,FormGroup,,,,,,
ui/src/app/components/connectors/router/sidebar/description.jsx,,TextField,,,,,,
ui/src/app/components/connectors/router/sidebar/loopback-ip-v4.jsx,,,,,,,,
ui/src/app/components/connectors/router/sidebar/loopback-ip-v6.jsx,,,,,,,,
ui/src/app/components/connectors/router/sidebar/name.jsx,,,,,,,,
ui/src/app/components/connectors/router/sidebar/name.jsx,,,,,,,,
ui/src/app/components/connectors/router/sidebar/select-vendor.tsx,,,,,,,,
ui/src/app/components/connectors/router/sidebar/shared.mjs,,FormControl,,,,,,
ui/src/app/components/connectors/router/sidebar/sidebar-form.tsx,,Button,,,,,,
,,ConfirmationModal :question_mark:,,,,,,
ui/src/app/components/connectors/router/router-page.jsx,,PageTitle :question_mark: (Typography),,,,,,
cube-visualizations,,,,,,,,
ui/src/app/components/cube-visualizations/cube-table/cube-grouped-table-head.jsx,,,,,TableCell,,,Imports the table components from MUI rather than using the style guide table
,,,,,TableHead,,,
,,,,,TableRow,,,
,,,,,TableSortLabel,,,
ui/src/app/components/cube-visualizations/cube-table/cube-table-head.jsx,,,,,TableCell,,,Same as above
,,,,,TableHead,,,
,,,,,TableRow,,,
,,,,,TableSortLabel,,,
ui/src/app/components/cube-visualizations/cube-table/cube-table-utils.jsx,,,,,,,,
