Name,Frequency
Typography,261
Box,255
withStyles,140
Grid,123
grey,109
FormControlLabel,80
FormLabel,68
makeStyles,63
DialogContent,56
IconButton,52
Paper,50
MenuItem,49
Checkbox,48
DialogActions,47
Dialog,44
Switch,44
ListItem,37
ListItemText,37
List,36
red,34
DeleteIcon,33
TextField,31
EditIcon,29
FormControl,27
ClickAwayListener,25
Radio,25
InputAdornment,25
Popover,25
blue,24
SvgIcon,24
Popper,20
RadioGroup,20
green,18
ToggleButtonGroup,18
CloseIcon,18
ToggleButton,17
Collapse,14
ListItemIcon,14
CircularProgress,14
Button,14
ArrowDropDownIcon,13
DialogTitle,13
OpenInNewIcon,12
TableRow,11
ExpandMoreIcon,11
ErrorOutlineIcon,10
MenuList,10
orange,10
MuiThemeProvider,10
WarningIcon,9
ErrorIcon,9
AccordionDetails,9
createTheme,9
Tooltip,8
TableCell,8
Accordion,8
AccordionSummary,8
MoreVertIcon,8
ErrorOutline,8
ListSubheader,7
FormGroup,7
Theme,7
TableHead,7
TableBody,7
MUIDialogContent,7
InputLabel,7
CheckCircleIcon,6
styled,6
pink,6
Table,6
Drawer,6
amber,6
ArrowIcon,6
LaunchIcon,6
blueGrey,6
PolicyIcon,5
CheckboxProps,5
ChevronRight,5
AddIcon,5
MUIDialogActions,5
Add,5
MUIIconButton,5
SearchIcon,5
ExpandLess,4
ExpandMore,4
Link,4
Fade,4
LockIcon,4
AssessmentIcon,4
CardActions,4
DownloadIcon,4
Skeleton,4
deepPurple,4
teal,4
purple,4
Slide,4
yellow,4
MUIOpenInNewIcon,4
Select,4
MUIFormControlLabel,4
MenuIcon,4
SettingsIcon,4
MUICheckbox,4
MUIPopper,4
Badge,4
AddCircleIcon,4
MuiChip,4
ArrowForward,4
DeleteOutline,4
AddCircleOutline,4
ArrowUpwardIcon,4
Alert,3
Divider,3
SwitchBaseProps,3
TableSortLabel,3
DuplicateIcon,3
MUIWarningIcon,3
PlayArrowIcon,3
StarBorderIcon,3
BarChartIcon,3
ChevronLeft,3
ArrowRightIcon,3
MUIEditIcon,3
MUIDialogTitle,3
HomeIcon,3
HomeOutlinedIcon,3
ClearIcon,3
Chip,3
CheckIcon,3
EyeIcon,3
Autorenew,3
ButtonProps,3
CheckCircleOutline,3
CodeIcon,3
AccountCircleIcon,2
Portal,2
HelpOutlineIcon,2
Menu,2
DashboardIcon,2
SettingsApplicationsIcon,2
VisibilityIcon,2
Create,2
Delete,2
Visibility,2
Checkbox as MUICheckbox,2
