Parent Path,File Name,Exists in Webb UI,MUI 5,Total Components,Includes Style Guide,Additional Details
ui/src/app/docs/api/api-doc-page-container.jsx,api-doc-page-container.jsx,"Paper
ExpandLess","ListItemText
ExpandMore
ListSubheader
List
ListItem
Collapse",8,True,
ui/src/app/docs/api/api-doc-page.jsx,api-doc-page.jsx,"green
red
CheckCircleIcon
Typography
WarningIcon","Grid
List
ListItemIcon
ListItem
ListItemText",10,True,
ui/src/app/docs/api/api-doc-landing-page.jsx,api-doc-landing-page.jsx,"Typography
Link",,2,True,
ui/src/app/components/gdta/gdta-info.tsx,gdta-info.tsx,"AccountCircleIcon
Box
DescriptionOutlined
Typography","withStyles
Grid",6,True,
ui/src/app/components/gdta/gdta-page.jsx,gdta-page.jsx,,Grid,1,True,
ui/src/app/components/gdta/gdta-agreement/gdta-enroll-modal.tsx,gdta-enroll-modal.tsx,"FormGroup
DialogActions
Checkbox
DialogContent
Alert
Dialog
FormControlLabel","Fade
grey
withStyles
Grid",11,True,
ui/src/app/components/gdta/gdta-agreement/form-fields.tsx,form-fields.tsx,FormLabel,withStyles,2,True,
ui/src/app/components/gdta/gdta-agreement/versions/v1/eula-agreement.tsx,eula-agreement.tsx,"Typography
Link",withStyles,3,True,
ui/src/app/components/gdta/onboarding/gdta-onboarding-modal.jsx,gdta-onboarding-modal.jsx,"Box
DialogActions
DialogContent
Dialog
Typography",,5,True,
ui/src/app/components/form-stepper-dialog/form-stepper-section.tsx,form-stepper-section.tsx,,Grid,1,True,
ui/src/app/components/form-stepper-dialog/form-stepper-dialog-styled-elements.tsx,form-stepper-dialog-styled-elements.tsx,"ErrorOutlineIcon
Typography",,2,True,
ui/src/app/components/form-stepper-dialog/form-stepper-dialog-loader.tsx,form-stepper-dialog-loader.tsx,Box,"CircularProgress
makeStyles",3,False,
ui/src/app/components/navigation/cluster-notification-banner.jsx,cluster-notification-banner.jsx,LockIcon,,1,True,
ui/src/app/components/navigation/nav-popover.jsx,nav-popover.jsx,"Portal
ClickAwayListener
Paper",,3,True,
ui/src/app/components/navigation/nav-item.jsx,nav-item.jsx,Tooltip,,1,True,
ui/src/app/components/navigation/help-menu.jsx,help-menu.jsx,HelpOutlineIcon,,1,False,
ui/src/app/components/navigation/sub-menu.jsx,sub-menu.jsx,Menu,withStyles,2,False,
ui/src/app/components/navigation/logo-nav.jsx,logo-nav.jsx,Box,,1,True,
ui/src/app/components/navigation/collapse-toggle.jsx,collapse-toggle.jsx,Tooltip,,1,True,
ui/src/app/components/navigation/navigation.jsx,navigation.jsx,"SettingsApplicationsIcon
DashboardIcon
ClickAwayListener
AssessmentIcon",,4,True,
